onset	duration	trial_type	food_name	frequency	healthy	wtp
2.13	4.87	upf	Chex Mix2.jpg	-44.64	-59.71	-0.79
7.01	10.15	auction	Chex Mix2.jpg	n/a	n/a	n/a
21.19	4.9	non-upf	Trail Mix with Peanuts1.jpg	205.36	189.29	-1.34
26.09	4.37	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
35.9	4.92	non-upf	Cheddar Cheese1.jpg	205.36	-46.71	-1.01
40.82	10.08	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
56.02	4.92	upf	Peanut Butter and Jelly Sandwich1.jpg	-294.64	87.29	-0.31
60.94	7.08	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
79.42	4.91	upf	Hot Dog1.jpg	-294.64	-165.71	2.35
84.33	4.16	auction	Hot Dog1.jpg	n/a	n/a	n/a
97.04	4.92	non-upf	Baked Sweet Potato1.jpg	-44.64	370.29	1.43
101.96	4.77	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
115.07	4.92	non-upf	Harboiled Eggs1.jpg	205.36	128.29	-0.46
119.99	7.4	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
131.16	4.92	upf	Chicken Nuggets1.jpg	-44.64	-130.71	1.54
136.07	3.89	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
150	4.91	upf	Pop-Tarts1.jpg	-44.64	-493.71	0.61
154.9	5.72	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
164.56	4.91	non-upf	Bananas and Craisins1.jpg	-294.64	327.29	-1.43
169.47	4.05	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
179.79	4.92	non-upf	Oatmeal and Honey1.jpg	205.36	197.29	-1.09
184.7	8.55	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
201.72	4.92	upf	Hot Pocket1.jpg	-294.64	-288.71	0.9
206.64	3.85	auction	Hot Pocket1.jpg	n/a	n/a	n/a
214.56	4.91	upf	Grilled Cheese1.jpg	-44.64	-0.71	0.58
219.47	9.92	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
234.56	4.91	non-upf	Apples and Pecans1.jpg	-44.64	341.29	-0.94
239.47	4.92	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
252.79	4.91	non-upf	Popcorn1.jpg	205.36	30.29	-0.94
257.71	7.18	auction	Popcorn1.jpg	n/a	n/a	n/a
268.26	4.91	upf	Chocolate Chip Cookies1.jpg	205.36	-239.71	1.28
273.17	8.06	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
292.21	4.91	upf	Animal Crackers1.jpg	-44.64	-240.71	-0.46
297.12	5.4	auction	Animal Crackers1.jpg	n/a	n/a	n/a
307.33	4.91	non-upf	Buttered Pasta1.jpg	205.36	35.29	1.28
312.24	7.48	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
329.62	4.92	non-upf	Pepper Jack Cheese1.jpg	-44.64	-18.71	-1.16
334.54	5.6	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
344.45	4.92	upf	Deli Turkey and Mashed Potatoes1.jpg	-44.64	189.29	1.62
349.37	3.87	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
361.56	4.91	upf	Cheerios and Milk1.jpg	-44.64	32.29	-0.55
366.47	7.1	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
382.17	4.92	non-upf	Mozzarella Cheese Sticks1.jpg	-44.64	-78.71	-0.98
387.09	5.55	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
402.64	4.92	non-upf	Baked Potato and Chicken1.jpg	455.36	282.29	1.72
407.55	5.35	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
417.49	4.91	upf	Frosted Mini Wheats1.jpg	-294.64	-161.71	-0.74
422.4	8.63	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
440.53	4.91	upf	Veggie Straws2.jpg	-294.64	-181.71	-1.31
445.44	6.87	auction	Veggie Straws2.jpg	n/a	n/a	n/a
458.92	4.91	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	455.36	339.29	2.44
463.84	3.33	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
472.68	4.93	non-upf	Mini Cheese Wheels1.jpg	-44.64	-63.71	-1.04
477.61	9.17	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
492.97	4.92	upf	Fruit Chews1.jpg	-44.64	-378.71	-1.17
497.89	3.92	auction	Fruit Chews1.jpg	n/a	n/a	n/a
